Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,DOM_DONES
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,149,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,222,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,94,3
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,32,4
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,20,5
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,137,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,253,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,86,3
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,37,4
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,26,5
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,243,1
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,483,2
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,208,3
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,88,4
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,53,5
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,297,1
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,490,2
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,210,3
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,79,4
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,36,5
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,263,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,426,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,185,3
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,48,4
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,32,5
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,172,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,273,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,114,3
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,34,4
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,24,5
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,226,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,259,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,124,3
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,46,4
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,25,5
2022-01-01,1,Ciutat Vella,1,el Raval,4,1008,293,1
2022-01-01,1,Ciutat Vella,1,el Raval,4,1008,439,2
2022-01-01,1,Ciutat Vella,1,el Raval,4,1008,176,3
