Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,DOM_HOMES
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,103,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,251,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,108,3
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,25,4
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,30,5
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,129,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,244,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,93,3
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,39,4
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,34,5
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,215,1
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,458,2
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,207,3
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,113,4
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,82,5
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,254,1
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,480,2
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,212,3
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,75,4
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,91,5
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,244,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,431,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,162,3
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,60,4
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,57,5
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,143,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,276,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,101,3
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,50,4
