Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,DOM_65_99
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,367,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,115,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,29,3
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,4,4
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,2,5
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,374,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,98,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,23,3
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,1,5
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,774,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,217,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,68,3
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,5,4
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,885,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,191,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,48,3
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,2,4
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,723,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,187,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,46,3
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,3,4
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,1,5
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,471,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,109,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,29,3
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,6,4
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,1,5
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,566,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,91,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,26,3
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,779,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,210,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,46,3
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,4,4
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,1,5
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,639,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,136,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,51,3
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,668,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,115,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,39,3
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,1,4
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,941,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,160,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,33,3
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,3,4
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,1,5
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,569,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,134,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,37,3
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,4,4
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,339,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,126,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,38,3
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,3,4
2023-01-01,1,Ciutat Vella,1,el Raval,6,1014,437,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1014,116,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1014,41,3
2023-01-01,1,Ciutat Vella,1,el Raval,6,1014,3,4
2023-01-01,1,Ciutat Vella,1,el Raval,6,1014,2,5
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,647,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,167,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,40,3
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,1,4
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,1,5
2023-01-01,1,Ciutat Vella,1,el Raval,6,1016,578,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1016,128,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1016,31,3
2023-01-01,1,Ciutat Vella,1,el Raval,6,1016,2,4
2023-01-01,1,Ciutat Vella,1,el Raval,6,1016,1,5
2023-01-01,1,Ciutat Vella,1,el Raval,6,1017,682,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1017,145,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1017,52,3
2023-01-01,1,Ciutat Vella,1,el Raval,7,1018,383,1
2023-01-01,1,Ciutat Vella,1,el Raval,7,1018,113,2
2023-01-01,1,Ciutat Vella,1,el Raval,7,1018,42,3
2023-01-01,1,Ciutat Vella,1,el Raval,7,1018,1,4
2023-01-01,1,Ciutat Vella,1,el Raval,7,1018,1,5
2023-01-01,1,Ciutat Vella,1,el Raval,7,1019,853,1
2023-01-01,1,Ciutat Vella,1,el Raval,7,1019,165,2
2023-01-01,1,Ciutat Vella,1,el Raval,7,1019,54,3
2023-01-01,1,Ciutat Vella,1,el Raval,7,1020,659,1
2023-01-01,1,Ciutat Vella,1,el Raval,7,1020,192,2
2023-01-01,1,Ciutat Vella,1,el Raval,7,1020,74,3
2023-01-01,1,Ciutat Vella,1,el Raval,7,1020,3,4
2023-01-01,1,Ciutat Vella,1,el Raval,7,1020,2,5
2023-01-01,1,Ciutat Vella,1,el Raval,8,1021,742,1
2023-01-01,1,Ciutat Vella,1,el Raval,8,1021,174,2
2023-01-01,1,Ciutat Vella,1,el Raval,8,1021,55,3
2023-01-01,1,Ciutat Vella,1,el Raval,8,1021,2,4
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,466,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,116,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,43,3
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,2,5
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,688,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,172,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,49,3
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,2,4
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,487,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,101,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,21,3
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,2,4
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,505,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,115,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,39,3
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,1,4
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,1,5
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,481,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,125,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,35,3
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,1,4
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,679,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,137,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,36,3
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,1,4
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,489,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,84,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,17,3
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,2,4
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,1,5
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,752,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,193,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,58,3
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,1,4
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,6,5
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,524,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,115,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,30,3
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,1,4
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,661,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,172,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,55,3
