Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,DOM_HOMES
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,114,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,252,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,109,3
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,24,4
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,18,5
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,114,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,242,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,77,3
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,34,4
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,29,5
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,212,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,455,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,211,3
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,94,4
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,92,5
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,262,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,499,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,207,3
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,86,4
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,72,5
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,255,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,448,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,149,3
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,55,4
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,53,5
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,148,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,279,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,95,3
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,55,4
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,39,5
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,133,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,278,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,137,3
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,66,4
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,69,5
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,196,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,426,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,222,3
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,99,4
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,97,5
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,190,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,377,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,135,3
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,73,4
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,51,5
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,142,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,380,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,170,3
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,77,4
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,54,5
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,245,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,493,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,234,3
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,86,4
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,80,5
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,166,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,357,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,136,3
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,55,4
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,30,5
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,125,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,207,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,95,3
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,35,4
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,44,5
2023-01-01,1,Ciutat Vella,1,el Raval,6,1014,118,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1014,281,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1014,106,3
2023-01-01,1,Ciutat Vella,1,el Raval,6,1014,67,4
2023-01-01,1,Ciutat Vella,1,el Raval,6,1014,27,5
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,189,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,393,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,164,3
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,65,4
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,45,5
2023-01-01,1,Ciutat Vella,1,el Raval,6,1016,152,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1016,337,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1016,145,3
2023-01-01,1,Ciutat Vella,1,el Raval,6,1016,67,4
2023-01-01,1,Ciutat Vella,1,el Raval,6,1016,39,5
2023-01-01,1,Ciutat Vella,1,el Raval,6,1017,181,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1017,400,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1017,157,3
2023-01-01,1,Ciutat Vella,1,el Raval,6,1017,77,4
2023-01-01,1,Ciutat Vella,1,el Raval,6,1017,64,5
2023-01-01,1,Ciutat Vella,1,el Raval,7,1018,113,1
2023-01-01,1,Ciutat Vella,1,el Raval,7,1018,225,2
2023-01-01,1,Ciutat Vella,1,el Raval,7,1018,133,3
2023-01-01,1,Ciutat Vella,1,el Raval,7,1018,39,4
2023-01-01,1,Ciutat Vella,1,el Raval,7,1018,30,5
2023-01-01,1,Ciutat Vella,1,el Raval,7,1019,248,1
2023-01-01,1,Ciutat Vella,1,el Raval,7,1019,495,2
2023-01-01,1,Ciutat Vella,1,el Raval,7,1019,192,3
2023-01-01,1,Ciutat Vella,1,el Raval,7,1019,77,4
2023-01-01,1,Ciutat Vella,1,el Raval,7,1019,60,5
2023-01-01,1,Ciutat Vella,1,el Raval,7,1020,247,1
2023-01-01,1,Ciutat Vella,1,el Raval,7,1020,441,2
2023-01-01,1,Ciutat Vella,1,el Raval,7,1020,153,3
2023-01-01,1,Ciutat Vella,1,el Raval,7,1020,52,4
2023-01-01,1,Ciutat Vella,1,el Raval,7,1020,37,5
2023-01-01,1,Ciutat Vella,1,el Raval,8,1021,287,1
2023-01-01,1,Ciutat Vella,1,el Raval,8,1021,455,2
2023-01-01,1,Ciutat Vella,1,el Raval,8,1021,151,3
2023-01-01,1,Ciutat Vella,1,el Raval,8,1021,48,4
2023-01-01,1,Ciutat Vella,1,el Raval,8,1021,32,5
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,191,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,305,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,88,3
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,27,4
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,16,5
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,273,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,419,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,158,3
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,43,4
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,18,5
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,180,1
