P017001L;P017001LG2;P040001LG1;KP107001L;KP109001L;KP060001L;KP069001L;KP069001LG2;KP081001L;KP081001LG2;KP011001L;KP016001L;KP010001LR1;KP010001LR3;KP010001LR4;KL007001LG7R1;KL007001LG10R1;KP110001LG1;KL018001LR1;KL018001LR2;KL018001LR4;KT002001LR2G1;KL065001L;KL001001LR1;KP033001L;KP040001L;KP074001L;KP073001L;KP075001L;KP065001L;KP080001LG1;KP070001L;KP071001L;KP137001L;KH074001L;KH064001L;KH066001LH1;KH068001LM1H1;KH068001LM2H1;KH068001LM3H1;KH068001LM4H1;KH068001LM5H1;KH002001LH1;KH079001LH1;KH003001LR1H1;KH004001L;KH008001L;KH011001L;KH012001L;KH013002L;KH101001L;KH096001L;KH005002L;KH134001L;KH076002L;KH017001L;KH098001LM1;KH098001LM2;KH098001LM3;KH098001LM4;KH098001LM10;KH098001LM5;KH098001LM11;KH098001LM7;KH098001LM8;KH098001LM9;KH132001L;KE026001L;KE038001LM3;KE038001LM4;KE038001LM5;KE038001LM6;KE038001LM7;KE038001LM8;KE038001LM9;KE038001LM10;KE016001L;KS025001L;KD084001LM1;KD084001LM2;KD084001LM3;KD084001LM4;KD084001LM5;KD087001L;KD091001L;KD086001LM1;KD086001LM2;KD086001LM4;KD086001LM3;KD086001LM6;KD086001LM5;KD090001L;KD093001L;KD085001LM1;KD085001LM2;KD085001LM3;KD085001LM4;KD085001LM5;KD085001LM6;KD088001L;KD092001L;KI284001L;KI285001L;KI289001L;KI290001L;KI100001L;KI275001L;KI276001L;KI278001L;KI097001L;KI148002L;KI280001L;KI283001L;KI159001LM3;KI159001LM5;KI159001LM8;KI159001LM2;KI159001LM4;KI138002L;KI138002LG2;KI138002LG2I;KI139001L;KI139001LG2;KI040001L;KI041003L;KI063001L;KI064002L;KI160001L;KI042001L;KI044001L;KI045001L;KI247001L;KI200001L;KI291001L;KI292001LM3;KI292001LM4;KI292001LM5;KI292001LM6;KI292001LM7;KI292001LM8;KI292001LM9;KI292001LM10;KI292001LM11;KI292001LM12;KI293001L;KW009001L;KW009002L;KW011001L
AA0002;1111000200;2002;2012;2;1;AA000201;111100020001;AA000202;111100020002;2;2;5;1;1;4;2;4;5;7;2;2;1;2;0;0;0;2;0;1;-8;19/10/2011;15/05/2012;1;-8;2;3;1;2;1;2;2;69;7;2;-8;-8;1998;2020;390;-8;-8;-8;-8;-8;2;1;1;1;1;1;1;1;2;2;2;6;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;4;1;2;2;2;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;-8;-8;2;-8;2;-8;2;-8;2;-8;-8;-8;-8;-8;-8;25000;25000;0;-8;9;2;2500;2;2;1;98;2;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2,17294538910074;2812,87234042553;1,70178128094857
AA0007;1111000700;2002;2012;2;1;AA000701;111100070001;AA000701;111100070001;1;1;5;1;1;4;3;4;4;4;1;3;1;4;0;0;0;1;0;1;-8;17/10/2011;04/06/2012;1;-8;2;2;2;2;1;2;2;80;5;1;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;1;1;1;2;1;1;1;1;1;2;2;2;5;-8;-8;-8;-8;-8;-8;-8;-8;1;4;1;2;2;2;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;-8;-8;2;-8;1;-9;2;-8;2;-8;-8;-8;-8;-8;-8;20400;20400;0;-8;7;1;2700;3;5;1;98;98;2;2;550;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;3,43700938227593;4449,2;1,02083500740418
AA0010;1111001000;2002;2012;2;1;AA001001;111100100001;AA001002;111100100002;2;2;5;1;1;1;1;4;4;4;1;1;1;3;0;0;0;1;2;1;-8;19/10/2011;21/06/2012;1;-8;2;3;2;2;1;2;2;98;7;2;-8;-8;1990;2022;775;-8;-8;-8;-8;-8;1;1;1;1;1;1;1;1;2;1;2;4;5;-8;-8;-8;-8;-8;-8;-8;-8;2;5;1;2;2;2;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;-8;-8;2;-8;2;-8;2;-8;2;-8;-8;-8;-8;-8;-8;-9;28884,1072967792;1;10;10;2;3000;3;0;1;98;2;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;1,87008747267431;2420,82352941176;1,05021855888775
AA0011;1111001100;2002;2012;2;1;AA001101;111100110001;AA001101;111100110001;1;1;5;1;1;1;-8;4;1;1;3;3;1;1;0;0;0;1;0;1;-8;28/03/2011;28/03/2012;1;-8;2;1;1;2;2;2;2;220;6;1;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;2;2;2;2;2;2;2;2;2;1;1;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;5;1;2;2;2;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;-8;-8;2;-8;2;-8;1;6000;2;-8;-8;-8;-8;-8;-8;15800;15800;0;-8;6;1;2000;3;-9;2;98;2;2;2;550;1;2;2;2;2;2;2;2;2;2;1;21;4,58363192702828;5933,5;1,30968588691317
AA0014;1111001400;2002;2012;2;1;AA001401;111100140001;AA001402;111100140002;2;2;5;1;1;1;1;4;3;3;3;3;1;2;0;0;0;2;0;1;-8;04/10/2011;15/05/2012;1;-8;2;1;2;2;1;1;2;200;18;1;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;4;1;1;1;1;1;1;1;1;1;2;6;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;4;2;1;2;2;2;5;50;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;-8;-8;2;-8;1;743;2;-8;2;-8;-8;-8;-8;-8;-8;60000;60000;0;-8;15;4;2500;2;12;3;98;98;2;2;0;1;2;2;2;2;2;2;2;1;2;2;8;1,87008747267431;2420,82352941176;1,30968588691317
AA0016;1111001600;2002;2012;2;1;AA001601;111100160001;AA001601;111100160001;1;1;5;1;1;2;-8;4;1;1;3;3;1;1;0;0;0;1;0;1;-8;31/03/2011;27/03/2012;1;-8;2;3;2;2;1;2;2;55;5;4;-8;-8;-8;-8;-8;1981;999;190;-8;-8;1;2;2;1;1;1;1;1;2;2;2;3;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;5;2;1;2;2;2;1;10;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;-8;-8;2;-8;2;-8;2;-8;2;-8;-8;-8;-8;-8;-8;7448;7448;0;-8;3;1;800;98;0;3;2;2;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;1,45886726117686;1888,5;1,30968588691317
AA0017;1111001700;2002;2012;2;1;AA001701;111100170001;AA001701;111100170001;1;1;5;1;1;2;-8;4;1;1;3;3;1;1;0;0;0;1;0;1;-8;07/10/2011;10/05/2012;2;-8;2;2;2;2;1;2;2;70;7;1;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;3;2;2;2;2;2;1;2;2;2;1;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;3;2;2;1;2;2;1;0;1;2;2;2;2;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;-8;-8;2;-8;2;-8;2;-8;2;-8;-8;-8;-8;-8;-8;8960;8960;0;-8;3;3;640;2;3;3;98;98;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;1,45886726117686;1888,5;1,30968588691317
AA0018;1111001800;2002;2012;2;1;AA001801;111100180001;AA001801;111100180001;1;2;5;1;1;5;88;4;4;4;1;5;1;6;0;0;4;2;0;1;-8;21/10/2011;09/05/2012;1;-8;2;3;1;2;2;2;2;75;6;4;-8;-8;-8;-8;-8;1985;999;300;-8;-8;1;1;1;2;2;2;2;2;2;2;2;1;5;-8;-8;-8;-8;-8;-8;-8;-8;1;5;1;2;2;2;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;1;2;2;2;2;2;-8;-8;2;-8;-8;-8;2;-8;2;-8;2;-8;2;-8;2;2;2;1;2;-9;10328,4622308573;2;-1;4;1;2000;2;0;3;2;2;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;1,54345606980745;1998;1,04192588497109
AA0021;1111002100;2002;2012;2;1;AA002101;111100210001;AA002101;111100210001;1;1;5;1;1;2;2;4;3;3;3;3;1;2;0;0;0;2;0;1;-8;12/04/2011;30/03/2012;1;-8;2;3;2;2;1;2;2;52;6;1;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;4;2;2;2;2;2;2;2;2;2;1;1;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;5;1;2;2;2;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;-8;-8;-8;2;-8;2;-8;2;-8;2;-8;-8;-8;-8;-8;-8;15750;15750;0;-8;6;2;2000;3;3;3;2;2;2;2;0;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2,17294538910074;2812,87234042553;2,51957359358341
AA0027;1111002700;2002;2012;2;2;AA002701;111100270001;AA002701;111100270001;1;-8;5;1;1;1;1;4;4;4;1;1;-8;4;-8;-8;2;2;0;1;-8;05/05/2010;25/04/2012;1;-8;-8;3;2;2;2;2;1;65;6;1;2;1999;-8;-8;-8;-8;-8;-8;-8;-8;1;1;1;1;1;1;1;1;1;1;2;4;5;-8;-8;-8;-8;-8;-8;-8;-8;3;2;1;2;2;2;2;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;1;2;2;2;2;2;-8;-8;2;-8;-8;-8;2;-8;2;-8;2;-8;2;-8;2;2;2;1;2;36000;36000;0;-8;11;3;3300;3;2;2;98;2;2;2;500;0;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;1,02974321374041;1333;1,04192588497109
