DA,G,N,E,KT002001EH1R3,S,Ch,KR185001E,KR167001E,KR173001E,KR170001E,KR176001E,KR107001E,KR168001E,KR174001E,KR171001E,KR075001E,KR110001E,KR169001E,KR175001E,KR178001E,KR078001E,KR113001E,household_id,HR,Tip
64,2,2,3,2,5,2,4,2,63,1,2,4,2,64,1,7,4,2,71,1,7,4,1111000200,2,5
39,2,1,6,1,2,0,5,2,40,1,1,5,2,45,1,1,5,2,35,1,1,7,1111000200,2,5
34,1,1,5,1,1,1,8,1,32,1,1,6,1,27,1,1,3,1,31,1,1,6,1511000200,3,4
31,2,1,14,1,1,1,7,2,24,1,1,4,1,33,1,1,6,2,30,1,1,7,1511000200,3,4
29,1,1,9,2,2,1,4,1,29,1,1,6,1,30,1,15,5,2,24,1,1,5,1311000600,3,4
24,2,1,14,2,2,0,4,2,23,1,1,7,2,23,1,8,6,2,23,1,1,6,1311000600,3,4
78,2,1,3,3,4,3,3,2,78,1,1,5,1,81,1,7,3,2,67,1,1,3,1111001100,1,1
33,1,1,11,3,2,0,9,1,30,1,1,6,1,32,1,15,4,2,35,1,1,6,1311001200,3,5
53,2,2,14,2,2,2,5,2,50,1,2,7,2,54,1,2,3,1,48,1,1,7,1311001200,3,5
70,2,1,15,3,1,2,4,2,50,1,1,7,2,63,1,7,7,2,59,1,2,4,1111001400,2,3
40,2,1,14,1,1,2,5,2,40,1,1,7,2,42,1,1,7,2,39,1,1,5,1111002700,4,4
35,1,1,6,1,1,2,4,1,34,1,1,6,1,35,1,1,6,2,39,1,1,6,1111002700,4,4
73,2,1,2,3,5,5,20,1,67,1,2,4,2,44,1,1,7,2,75,2,7,2,1111002900,2,5
52,1,2,4,3,1,1,3,2,42,1,1,4,1,45,1,1,5,2,42,1,2,6,1111003200,3,4
43,2,1,4,2,1,1,4,2,42,1,1,4,1,45,1,1,5,2,42,1,1,6,1111003200,3,4
53,1,1,6,1,1,3,20,2,46,1,1,6,1,58,1,7,6,2,50,2,1,6,1111003500,3,4
59,1,1,6,2,2,0,3,1,60,1,1,5,2,51,1,1,7,1,60,1,15,4,1111003700,1,1
87,1,2,4,3,1,3,4,1,88,1,1,3,1,87,1,7,4,1,82,1,7,5,1111003900,2,3
85,2,1,5,3,1,3,5,2,81,1,1,4,1,88,1,7,4,2,82,1,7,4,1111003900,2,3
38,1,1,16,1,2,0,10,1,29,1,1,5,2,44,1,1,7,2,48,2,1,7,1111004200,1,1
82,1,2,4,3,1,3,6,1,80,1,2,2,1,80,1,1,2,1,42,1,1,6,1111004300,2,3
72,2,1,6,3,1,3,10,2,70,1,2,2,2,50,1,1,7,2,75,1,11,2,1111004300,2,3
94,2,1,3,3,5,2,3,2,70,1,1,2,2,83,1,7,3,2,87,1,7,2,1111004600,1,1
33,2,3,9,3,1,3,5,2,42,1,3,5,1,46,1,15,3,2,45,3,6,3,1111004900,5,4
54,2,1,15,1,1,0,5,2,60,1,1,7,2,55,1,1,7,2,52,3,1,5,1111006300,3,4
46,2,1,16,1,1,0,6,1,49,1,2,7,2,46,1,1,7,2,46,1,1,7,1111006900,2,3
34,1,1,12,1,2,0,5,1,33,1,1,7,1,33,1,1,7,1,30,1,1,6,1111007400,2,3
60,2,1,5,3,4,0,3,2,60,1,1,7,2,70,5,6,5,2,62,1,1,7,1111007900,1,1
66,2,1,7,3,1,1,3,1,65,1,1,6,2,62,1,1,7,2,69,1,7,7,1111008100,2,3
