Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_G,SEXE
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,321,1,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,376,1,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,65,2,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,71,2,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,214,3,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,255,3,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,293,1,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,269,1,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,90,2,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,91,2,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,299,3,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,358,3,2
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,909,1,1
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,970,1,2
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,110,2,1
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,131,2,2
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,564,3,1
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,779,3,2
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,..,4,1
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,..,4,2
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,737,1,1
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,779,1,2
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,137,2,1
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,179,2,2
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,448,3,1
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,662,3,2
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,4,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,594,1,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,596,1,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,159,2,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,156,2,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,326,3,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,506,3,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,..,4,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,322,1,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,352,1,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,124,2,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,122,2,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,282,3,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,410,3,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,..,4,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,376,1,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,486,1,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,108,2,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,107,2,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,280,3,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,542,3,2
2022-01-01,1,Ciutat Vella,1,el Raval,4,1008,601,1,1
2022-01-01,1,Ciutat Vella,1,el Raval,4,1008,738,1,2
2022-01-01,1,Ciutat Vella,1,el Raval,4,1008,100,2,1
2022-01-01,1,Ciutat Vella,1,el Raval,4,1008,141,2,2
2022-01-01,1,Ciutat Vella,1,el Raval,4,1008,631,3,1
2022-01-01,1,Ciutat Vella,1,el Raval,4,1008,1033,3,2
2022-01-01,1,Ciutat Vella,1,el Raval,4,1008,..,4,1
2022-01-01,1,Ciutat Vella,1,el Raval,4,1009,542,1,1
2022-01-01,1,Ciutat Vella,1,el Raval,4,1009,534,1,2
2022-01-01,1,Ciutat Vella,1,el Raval,4,1009,82,2,1
2022-01-01,1,Ciutat Vella,1,el Raval,4,1009,116,2,2
2022-01-01,1,Ciutat Vella,1,el Raval,4,1009,370,3,1
2022-01-01,1,Ciutat Vella,1,el Raval,4,1009,510,3,2
2022-01-01,1,Ciutat Vella,1,el Raval,4,1010,478,1,1
2022-01-01,1,Ciutat Vella,1,el Raval,4,1010,486,1,2
2022-01-01,1,Ciutat Vella,1,el Raval,4,1010,91,2,1
2022-01-01,1,Ciutat Vella,1,el Raval,4,1010,98,2,2
2022-01-01,1,Ciutat Vella,1,el Raval,4,1010,487,3,1
2022-01-01,1,Ciutat Vella,1,el Raval,4,1010,636,3,2
2022-01-01,1,Ciutat Vella,1,el Raval,4,1010,..,4,1
2022-01-01,1,Ciutat Vella,1,el Raval,4,1010,..,4,2
2022-01-01,1,Ciutat Vella,1,el Raval,5,1011,617,1,1
2022-01-01,1,Ciutat Vella,1,el Raval,5,1011,738,1,2
2022-01-01,1,Ciutat Vella,1,el Raval,5,1011,125,2,1
2022-01-01,1,Ciutat Vella,1,el Raval,5,1011,125,2,2
2022-01-01,1,Ciutat Vella,1,el Raval,5,1011,639,3,1
2022-01-01,1,Ciutat Vella,1,el Raval,5,1011,833,3,2
2022-01-01,1,Ciutat Vella,1,el Raval,5,1012,498,1,1
