﻿Codi Província;Nom Província;Codi Vegueria;Nom Vegueria;Codi Comarca;Nom Comarca;Codi Municipi;Nom Municipi;Població;Cens;Participació 13:00;Participació 18:00;Participació 20:00;Abstenció;Vots nuls;Vots en blanc;Vots a candidatures;Vots vàlids
25;Lleida;5;Alt Pirineu i territori d'Aran;25;Pallars Jussà;25001;Abella de la Conca;183;134;25;48;62;72;0;2;60;62
8;Barcelona;1;Barcelona;11;Baix Llobregat;08001;Abrera;12538;9262;2309;4263;4966;4296;66;42;4858;4900
25;Lleida;4;Lleida;23;Noguera;25002;Àger;580;457;131;223;301;156;6;4;291;295
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;5411;3733;926;1743;2053;1680;37;38;1978;2016
8;Barcelona;2;Catalunya Central;7;Bages;08002;Aguilar de Segarra;282;218;77;145;170;48;1;1;168;169
17;Girona;3;Girona;2;Alt Empordà;17001;Agullana;863;596;201;351;393;203;14;5;374;379
8;Barcelona;1;Barcelona;41;Vallès Oriental;08014;Aiguafreda;2512;2048;456;975;1230;818;15;15;1200;1215
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43001;Aiguamúrcia;930;739;193;381;404;335;7;5;392;397
17;Girona;3;Girona;20;Gironès;17002;Aiguaviva;765;600;188;393;446;154;6;0;440;440
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;2567;1416;426;741;902;514;17;15;870;885
25;Lleida;4;Lleida;33;Segrià;25004;Alamús, els;811;566;189;319;364;202;11;5;348;353
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25005;Alàs i Cerc;320;262;72;153;167;95;0;4;163;167
25;Lleida;4;Lleida;18;Garrigues;25006;Albagés, l';361;315;126;172;201;114;9;3;189;192
17;Girona;3;Girona;2;Alt Empordà;17003;Albanyà;155;112;33;70;77;35;0;0;77;77
25;Lleida;4;Lleida;33;Segrià;25007;Albatàrrec;2236;1399;214;662;742;657;22;9;711;720
25;Lleida;4;Lleida;23;Noguera;25008;Albesa;1561;1089;274;551;625;464;6;10;609;619
25;Lleida;4;Lleida;18;Garrigues;25009;Albi, l';744;594;180;361;413;181;4;8;401;409
43;Tarragona;8;Penedès;12;Baix Penedès;43002;Albinyana;2468;1933;447;761;849;1084;22;2;825;827
43;Tarragona;6;Camp de Tarragona;8;Baix Camp;43003;Albiol, l';500;357;99;167;190;167;2;5;183;188
17;Girona;3;Girona;10;Baix Empordà;17004;Albons;759;558;204;325;376;182;5;2;369;371
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43004;Alcanar;9434;6381;1347;2481;2941;3440;58;26;2857;2883
25;Lleida;4;Lleida;33;Segrià;25010;Alcanó;238;194;59;109;131;63;2;0;129;129
25;Lleida;4;Lleida;33;Segrià;25011;Alcarràs;9707;5289;1181;2182;2512;2777;51;38;2423;2461
25;Lleida;4;Lleida;33;Segrià;25012;Alcoletge;3435;2383;585;1047;1192;1191;33;18;1141;1159
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43005;Alcover;5144;3681;777;1526;1825;1856;30;20;1775;1795
43;Tarragona;7;Terres de l'Ebre;9;Baix Ebre;43904;Aldea, l';4147;2851;688;963;1188;1663;42;14;1132;1146
43;Tarragona;7;Terres de l'Ebre;9;Baix Ebre;43006;Aldover;905;686;168;291;358;328;10;2;346;348
43;Tarragona;6;Camp de Tarragona;8;Baix Camp;43007;Aleixar, l';893;665;179;365;412;253;2;3;407;410
8;Barcelona;1;Barcelona;21;Maresme;08003;Alella;9904;7246;1892;3696;4531;2715;43;35;4453;4488
43;Tarragona;7;Terres de l'Ebre;9;Baix Ebre;43008;Alfara de Carles;376;314;64;100;121;193;3;1;117;118
25;Lleida;4;Lleida;33;Segrià;25013;Alfarràs;2765;2072;518;916;1071;1001;10;15;1046;1061
25;Lleida;4;Lleida;33;Segrià;25014;Alfés;297;250;88;151;168;82;4;0;164;164
