﻿Codi Província;Nom Província;Codi Vegueria;Nom Vegueria;Codi Comarca;Nom Comarca;Codi Municipi;Nom Municipi;Sigles Candidatura;Nom Candidatura;Vots
25;Lleida;5;Alt Pirineu i territori d'Aran;25;Pallars Jussà;25001;Abella de la Conca;JxCat;Junts per Catalunya;29
25;Lleida;5;Alt Pirineu i territori d'Aran;25;Pallars Jussà;25001;Abella de la Conca;ERC;Esquerra Republicana de Catalunya;16
25;Lleida;5;Alt Pirineu i territori d'Aran;25;Pallars Jussà;25001;Abella de la Conca;CUP-G;Canditatura d'Unitat Popular-Un Nou Cicle per Guanyar;9
25;Lleida;5;Alt Pirineu i territori d'Aran;25;Pallars Jussà;25001;Abella de la Conca;PSC;Partit dels Socialistes de Catalunya (PSC-PSOE);3
25;Lleida;5;Alt Pirineu i territori d'Aran;25;Pallars Jussà;25001;Abella de la Conca;ECP-PEC;En Comú Podem-Podem en Comú;2
25;Lleida;5;Alt Pirineu i territori d'Aran;25;Pallars Jussà;25001;Abella de la Conca;Cs;Ciutadans-Partido de la Ciudadanía;1
25;Lleida;5;Alt Pirineu i territori d'Aran;25;Pallars Jussà;25001;Abella de la Conca;PUM+J;Per Un Món Més Just;0
25;Lleida;5;Alt Pirineu i territori d'Aran;25;Pallars Jussà;25001;Abella de la Conca;SCAT;Suport Civil Català;0
25;Lleida;5;Alt Pirineu i territori d'Aran;25;Pallars Jussà;25001;Abella de la Conca;FNC;Front Nacional de Catalunya;0
25;Lleida;5;Alt Pirineu i territori d'Aran;25;Pallars Jussà;25001;Abella de la Conca;IZQP;Izquierda en Positivo;0
25;Lleida;5;Alt Pirineu i territori d'Aran;25;Pallars Jussà;25001;Abella de la Conca;VOX;Vox;0
25;Lleida;5;Alt Pirineu i territori d'Aran;25;Pallars Jussà;25001;Abella de la Conca;MPIC;Moviment Primàries per la Independència de Catalunya;0
25;Lleida;5;Alt Pirineu i territori d'Aran;25;Pallars Jussà;25001;Abella de la Conca;PCTC;Partit Comunista dels Treballadors de Catalunya;0
25;Lleida;5;Alt Pirineu i territori d'Aran;25;Pallars Jussà;25001;Abella de la Conca;PNC;Partit Nacionalista de Catalunya;0
25;Lleida;5;Alt Pirineu i territori d'Aran;25;Pallars Jussà;25001;Abella de la Conca;PP;Partit Popular;0
25;Lleida;5;Alt Pirineu i territori d'Aran;25;Pallars Jussà;25001;Abella de la Conca;PDeCAT;Partit Demòcrata Europeu Català;0
25;Lleida;5;Alt Pirineu i territori d'Aran;25;Pallars Jussà;25001;Abella de la Conca;RECORTES CERO-GV-M;Recortes Cero-Grup Verd-Municipalistes;0
25;Lleida;5;Alt Pirineu i territori d'Aran;25;Pallars Jussà;25001;Abella de la Conca;EB;Escons en Blanc;0
8;Barcelona;1;Barcelona;11;Baix Llobregat;08001;Abrera;PSC;Partit dels Socialistes de Catalunya (PSC-PSOE);1647
8;Barcelona;1;Barcelona;11;Baix Llobregat;08001;Abrera;ERC;Esquerra Republicana de Catalunya;982
8;Barcelona;1;Barcelona;11;Baix Llobregat;08001;Abrera;VOX;Vox;561
8;Barcelona;1;Barcelona;11;Baix Llobregat;08001;Abrera;Cs;Ciutadans-Partido de la Ciudadanía;413
8;Barcelona;1;Barcelona;11;Baix Llobregat;08001;Abrera;ECP-PEC;En Comú Podem-Podem en Comú;412
8;Barcelona;1;Barcelona;11;Baix Llobregat;08001;Abrera;JxCat;Junts per Catalunya;381
