MUNICIPI,COMARCA,PROVINCIA,G,DA,N,E,S,C,U,Ch,HR,LLOC_NAIX,LLENGUA_IDENTIFICACIO,IMP_FAMILIA,IMP_AMICS,IMP_LLEURE,IMP_POLITICA,IMP_TREBALL,IMP_RELIGIO,SATIS_VIDA,CONFI_SOCIAL_WVS_1,SALUT,FELICITAT,ACTITUD_ECONOMIA,ACTITUD_IMMIGRACIO,ACTITUD_MEDIAMBIENT,DESIGUALTATS_GENERE,ECON_MERITOCRACIA,MEDIAMBIENT_CREIXEMENT,IMMIGRACIO_CULTURA,CONFI_POLICIA,CONFI_POLITICS,IDEOL_0_10,PERSONA_RELIGIOSA,DEPENDENCIA_ECO_PARES,INGRESSOS_1_15,INFO_POL_TV_FREQ,FREQ_CONSUM_INTERNET,Inglehart_index,Universalism,Stimulation,Hedonism,Self-Direction,Achievement,Power,Security,Conformity,Tradition,Benevolence
Arenys de Mar,Maresme,Barcelona,Femení,2,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Parella de fet,Classe treballadora mitjana,No treballo,2,3,A Catalunya,Català,Molt important,Bastant important,Molt important,Poc important,Bastant important,Gens important,8,Es pot confiar en la majoria de la gent,Bona,Molt feliç,Ni d’acord ni en desacord,3,3,3,8,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",8,1,1,1,Un/a ateu/a,No,De 3.001 a 4.000 €,1-2 dies per setmana,Tots els dies,5,5,3,2,2,2,2,2,3,4,3
Barcelona,Barcelonès,Barcelona,Masculí,6,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Casat/ada,Classe treballadora mitjana,Treballo,2,3,A Catalunya,Català,Molt important,Bastant important,Poc important,Bastant important,Molt important,Gens important,7,Es pot confiar en la majoria de la gent,Molt bona,Bastant feliç,Ni d’acord ni en desacord,1,3,2,8,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",1,1,2,2,Un/a ateu/a,No,De 4.001 a 4.500 €,3-4 dies per setmana,Tots els dies,3,4,1,1,3,1,1,4,1,2,3
Vic,Osona,Barcelona,Masculí,1,"Sí, tinc la ciutadania espanyola","Formació professional de grau superior (FP2, CFGS i equivalents)",Parella de fet,Classe treballadora mitjana,Treballo,1,3,A Catalunya,Català,Molt important,Bastant important,Molt important,Bastant important,Molt important,Poc important,6,Un mai no és prou prudent,Bona,Bastant feliç,En desacord,1,2,2,"1 A la llarga, esforçar-se en el treball acostuma a conduir a una vida millor",S'ha de trobar un equilibri per donar prioritat a ambdues coses / creixement econòmic sostenible,5,1,1,2,Una persona no religiosa,No,Valor perdut per prefereixo no contestar,Amb menys freqüència,Tots els dies,0,6,4,4,4,4,3,4,4,2,4
Sabadell,Vallès Occidental,Barcelona,Masculí,2,"Sí, tinc la ciutadania espanyola","Formació professional de grau superior (FP2, CFGS i equivalents)",Solter/a,Classe treballadora mitjana,Treballo,1,3,A Catalunya,Castellà,Molt important,Bastant important,Molt important,Poc important,Molt important,Gens important,5,Un mai no és prou prudent,Bona,Bastant feliç,En desacord,2,1,2,7,"S’hauria de donar prioritat al creixement econòmic i a la creació de llocs de treball, fins i tot si el medi ambient pat",7,1,4,2,Un/a ateu/a,No,De 5.001 a 6.000 €,Amb menys freqüència,Tots els dies,2,3,4,2,2,2,3,2,4,1,4
Barcelona,Barcelonès,Barcelona,Femení,1,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Solter/a,Classe treballadora mitjana,No treballo,1,3,A Catalunya,Castellà,Bastant important,Bastant important,Molt important,Bastant important,Bastant important,Gens important,7,Es pot confiar en la majoria de la gent,Ni bona ni dolenta,No gaire feliç,Molt en desacord,3,1,3,10 Esforçar-se en el treball no acostuma a conduir a l’èxit. Això depèn més de la sort i els contactes,"S’hauria de donar prioritat al creixement econòmic i a la creació de llocs de treball, fins i tot si el medi ambient pat",7,1,3,1,Una persona no religiosa,Sí,De 5.001 a 6.000 €,1-2 dies per setmana,Tots els dies,3,2,0,3,1,3,2,2,0,2,4
 ,Vallès Oriental,Barcelona,Femení,6,"Sí, tinc la ciutadania espanyola","Estudis secundaris post obligatoris (Batxillerat, BUP/COU, etc.)",Casat/ada,Classe treballadora mitjana,Treballo,2,1,A Catalunya,Català,Molt important,Molt important,Molt important,Molt important,Bastant important,Poc important,7,Es pot confiar en la majoria de la gent,Bona,Bastant feliç,En desacord,3,1,1,8,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",10 La vida cultural catalana s’enriqueix,1,0 No hi confio en absolut,1,Una persona no religiosa,No,De 3.001 a 4.000 €,Tots els dies,Tots els dies,5,6,2,0,4,0,0,3,2,4,4
Barcelona,Barcelonès,Barcelona,Femení,1,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Solter/a,Classe treballadora alta,Treballo,1,3,A Catalunya,Català,Molt important,Molt important,Molt important,Bastant important,Bastant important,Poc important,6,Un mai no és prou prudent,Bona,Bastant feliç,En desacord,3,3,3,10 Esforçar-se en el treball no acostuma a conduir a l’èxit. Això depèn més de la sort i els contactes,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",9,3,2,1,Un/a ateu/a,Sí,De 2.401 a 3.000 €,Amb menys freqüència,Tots els dies,2,6,1,2,4,2,2,3,1,4,4
Badalona,Barcelonès,Barcelona,Femení,3,"Sí, tinc la ciutadania espanyola","Estudis secundaris post obligatoris (Batxillerat, BUP/COU, etc.)",Casat/ada,Classe treballadora mitjana,Treballo,2,3,A Catalunya,Castellà,Molt important,Poc important,Molt important,Molt important,Molt important,Molt important,7,Un mai no és prou prudent,Dolenta,No gaire feliç,Ni d’acord ni en desacord,1,2,1,5,S'ha de trobar un equilibri per donar prioritat a ambdues coses / creixement econòmic sostenible,10 La vida cultural catalana s’enriqueix,3,5,2,Un/a ateu/a,No,De 2.401 a 3.000 €,Mai,Tots els dies,4,6,3,2,3,0,2,4,3,3,4
Sant Cugat del Vallès,Vallès Occidental,Barcelona,Masculí,4,"No, no tinc la ciutadania espanyola",Estudis universitaris,Casat/ada,Classe treballadora mitjana,Treballo,2,3,Fora d'Espanya,Altres opcions,Molt important,Molt important,Molt important,Bastant important,Bastant important,Poc important,7,Un mai no és prou prudent,Molt bona,Bastant feliç,Ni d’acord ni en desacord,3,3,3,5,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",5,2,2,2,Una persona religiosa,No,Valor perdut per prefereixo no contestar,Tots els dies,Tots els dies,2,6,4,3,4,3,3,4,4,3,4
Cornellà de Llobregat,Baix Llobregat,Barcelona,Femení,2,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Casat/ada,Classe treballadora mitjana,Treballo,2,3,A Catalunya,Castellà,Molt important,Molt important,Molt important,Poc important,Bastant important,Gens important,8,Un mai no és prou prudent,Bona,Bastant feliç,Ni d’acord ni en desacord,3,3,3,4,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",10 La vida cultural catalana s’enriqueix,2,3,2,Una persona no religiosa,No,De 4.001 a 4.500 €,1-2 dies per setmana,Tots els dies,5,6,3,2,4,2,1,3,3,2,4
