Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,NIV_EDUCA_esta,LLOC_NAIX
2022-01-01,1,Ciutat Vella,1,el Raval,125,1,1
2022-01-01,1,Ciutat Vella,1,el Raval,23,1,2
2022-01-01,1,Ciutat Vella,1,el Raval,241,1,3
2022-01-01,1,Ciutat Vella,1,el Raval,5,1,4
2022-01-01,1,Ciutat Vella,1,el Raval,77,1,5
2022-01-01,1,Ciutat Vella,1,el Raval,1433,2,1
2022-01-01,1,Ciutat Vella,1,el Raval,227,2,2
2022-01-01,1,Ciutat Vella,1,el Raval,1267,2,3
2022-01-01,1,Ciutat Vella,1,el Raval,197,2,4
2022-01-01,1,Ciutat Vella,1,el Raval,6541,2,5
2022-01-01,1,Ciutat Vella,1,el Raval,..,2,6
2022-01-01,1,Ciutat Vella,1,el Raval,2429,3,1
2022-01-01,1,Ciutat Vella,1,el Raval,290,3,2
2022-01-01,1,Ciutat Vella,1,el Raval,657,3,3
2022-01-01,1,Ciutat Vella,1,el Raval,398,3,4
2022-01-01,1,Ciutat Vella,1,el Raval,6642,3,5
2022-01-01,1,Ciutat Vella,1,el Raval,..,3,6
2022-01-01,1,Ciutat Vella,1,el Raval,1709,4,1
2022-01-01,1,Ciutat Vella,1,el Raval,322,4,2
2022-01-01,1,Ciutat Vella,1,el Raval,635,4,3
2022-01-01,1,Ciutat Vella,1,el Raval,934,4,4
2022-01-01,1,Ciutat Vella,1,el Raval,4451,4,5
2022-01-01,1,Ciutat Vella,1,el Raval,..,4,6
2022-01-01,1,Ciutat Vella,1,el Raval,1318,5,1
2022-01-01,1,Ciutat Vella,1,el Raval,637,5,2
2022-01-01,1,Ciutat Vella,1,el Raval,1160,5,3
2022-01-01,1,Ciutat Vella,1,el Raval,2233,5,4
2022-01-01,1,Ciutat Vella,1,el Raval,5649,5,5
2022-01-01,1,Ciutat Vella,1,el Raval,23,5,6
2022-01-01,1,Ciutat Vella,1,el Raval,326,6,1
2022-01-01,1,Ciutat Vella,1,el Raval,39,6,2
2022-01-01,1,Ciutat Vella,1,el Raval,11,6,3
2022-01-01,1,Ciutat Vella,1,el Raval,9,6,4
2022-01-01,1,Ciutat Vella,1,el Raval,173,6,5
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,36,1,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,7,1,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,85,1,3
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,6,1,4
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,58,1,5
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,430,2,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,98,2,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,402,2,3
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,150,2,4
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,3292,2,5
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,2,6
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,909,3,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,135,3,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,286,3,3
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,285,3,4
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,3622,3,5
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,933,4,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,183,4,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,309,4,3
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,627,4,4
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,2473,4,5
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,4,6
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,896,5,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,342,5,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,511,5,3
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,1603,5,4
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,3290,5,5
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,5,6
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,89,6,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,6,6,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,6,3
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,6,4
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,37,6,5
2022-01-01,1,Ciutat Vella,3,la Barceloneta,98,1,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,11,1,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,138,1,3
2022-01-01,1,Ciutat Vella,3,la Barceloneta,..,1,4
2022-01-01,1,Ciutat Vella,3,la Barceloneta,9,1,5
2022-01-01,1,Ciutat Vella,3,la Barceloneta,1079,2,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,83,2,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,550,2,3
2022-01-01,1,Ciutat Vella,3,la Barceloneta,64,2,4
2022-01-01,1,Ciutat Vella,3,la Barceloneta,649,2,5
2022-01-01,1,Ciutat Vella,3,la Barceloneta,1643,3,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,140,3,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,337,3,3
2022-01-01,1,Ciutat Vella,3,la Barceloneta,201,3,4
2022-01-01,1,Ciutat Vella,3,la Barceloneta,908,3,5
2022-01-01,1,Ciutat Vella,3,la Barceloneta,1014,4,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,118,4,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,238,4,3
2022-01-01,1,Ciutat Vella,3,la Barceloneta,526,4,4
2022-01-01,1,Ciutat Vella,3,la Barceloneta,1146,4,5
2022-01-01,1,Ciutat Vella,3,la Barceloneta,..,4,6
2022-01-01,1,Ciutat Vella,3,la Barceloneta,517,5,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,172,5,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,303,5,3
2022-01-01,1,Ciutat Vella,3,la Barceloneta,1161,5,4
2022-01-01,1,Ciutat Vella,3,la Barceloneta,2024,5,5
2022-01-01,1,Ciutat Vella,3,la Barceloneta,..,5,6
2022-01-01,1,Ciutat Vella,3,la Barceloneta,92,6,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,10,6,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,..,6,3
2022-01-01,1,Ciutat Vella,3,la Barceloneta,..,6,4
2022-01-01,1,Ciutat Vella,3,la Barceloneta,11,6,5
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",64,1,1
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",11,1,2
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",122,1,3
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",..,1,4
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1,5
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",735,2,1
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",116,2,2
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",667,2,3
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",98,2,4
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1145,2,5
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1359,3,1
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",185,3,2
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",400,3,3
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",273,3,4
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1361,3,5
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",..,3,6
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1371,4,1
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",253,4,2
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",418,4,3
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",707,4,4
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1821,4,5
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",5,4,6
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1282,5,1
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",502,5,2
