Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,NIV_EDUCA_esta,EDAT_Q,SEXE
2022-01-01,1,Ciutat Vella,1,el Raval,..,1,3,2
2022-01-01,1,Ciutat Vella,1,el Raval,..,1,4,1
2022-01-01,1,Ciutat Vella,1,el Raval,..,1,4,2
2022-01-01,1,Ciutat Vella,1,el Raval,..,1,5,1
2022-01-01,1,Ciutat Vella,1,el Raval,..,1,5,2
2022-01-01,1,Ciutat Vella,1,el Raval,..,1,6,1
2022-01-01,1,Ciutat Vella,1,el Raval,9,1,6,2
2022-01-01,1,Ciutat Vella,1,el Raval,..,1,7,1
2022-01-01,1,Ciutat Vella,1,el Raval,6,1,7,2
2022-01-01,1,Ciutat Vella,1,el Raval,..,1,8,1
2022-01-01,1,Ciutat Vella,1,el Raval,..,1,8,2
2022-01-01,1,Ciutat Vella,1,el Raval,..,1,9,1
2022-01-01,1,Ciutat Vella,1,el Raval,..,1,9,2
2022-01-01,1,Ciutat Vella,1,el Raval,..,1,10,1
2022-01-01,1,Ciutat Vella,1,el Raval,..,1,10,2
2022-01-01,1,Ciutat Vella,1,el Raval,..,1,11,1
2022-01-01,1,Ciutat Vella,1,el Raval,..,1,11,2
2022-01-01,1,Ciutat Vella,1,el Raval,..,1,12,1
2022-01-01,1,Ciutat Vella,1,el Raval,..,1,13,1
2022-01-01,1,Ciutat Vella,1,el Raval,..,1,13,2
2022-01-01,1,Ciutat Vella,1,el Raval,..,1,14,1
2022-01-01,1,Ciutat Vella,1,el Raval,..,1,14,2
2022-01-01,1,Ciutat Vella,1,el Raval,..,1,15,1
2022-01-01,1,Ciutat Vella,1,el Raval,..,1,15,2
2022-01-01,1,Ciutat Vella,1,el Raval,63,1,16,1
2022-01-01,1,Ciutat Vella,1,el Raval,32,1,16,2
2022-01-01,1,Ciutat Vella,1,el Raval,127,1,17,1
2022-01-01,1,Ciutat Vella,1,el Raval,49,1,17,2
2022-01-01,1,Ciutat Vella,1,el Raval,75,1,18,1
2022-01-01,1,Ciutat Vella,1,el Raval,18,1,18,2
2022-01-01,1,Ciutat Vella,1,el Raval,24,1,19,1
2022-01-01,1,Ciutat Vella,1,el Raval,..,1,19,2
2022-01-01,1,Ciutat Vella,1,el Raval,8,1,20,1
2022-01-01,1,Ciutat Vella,1,el Raval,74,2,3,1
2022-01-01,1,Ciutat Vella,1,el Raval,133,2,3,2
2022-01-01,1,Ciutat Vella,1,el Raval,138,2,4,1
2022-01-01,1,Ciutat Vella,1,el Raval,302,2,4,2
2022-01-01,1,Ciutat Vella,1,el Raval,228,2,5,1
2022-01-01,1,Ciutat Vella,1,el Raval,418,2,5,2
2022-01-01,1,Ciutat Vella,1,el Raval,285,2,6,1
2022-01-01,1,Ciutat Vella,1,el Raval,516,2,6,2
2022-01-01,1,Ciutat Vella,1,el Raval,305,2,7,1
2022-01-01,1,Ciutat Vella,1,el Raval,514,2,7,2
2022-01-01,1,Ciutat Vella,1,el Raval,361,2,8,1
2022-01-01,1,Ciutat Vella,1,el Raval,644,2,8,2
2022-01-01,1,Ciutat Vella,1,el Raval,352,2,9,1
2022-01-01,1,Ciutat Vella,1,el Raval,585,2,9,2
2022-01-01,1,Ciutat Vella,1,el Raval,329,2,10,1
2022-01-01,1,Ciutat Vella,1,el Raval,507,2,10,2
2022-01-01,1,Ciutat Vella,1,el Raval,337,2,11,1
2022-01-01,1,Ciutat Vella,1,el Raval,427,2,11,2
2022-01-01,1,Ciutat Vella,1,el Raval,316,2,12,1
2022-01-01,1,Ciutat Vella,1,el Raval,379,2,12,2
2022-01-01,1,Ciutat Vella,1,el Raval,326,2,13,1
2022-01-01,1,Ciutat Vella,1,el Raval,293,2,13,2
2022-01-01,1,Ciutat Vella,1,el Raval,323,2,14,1
2022-01-01,1,Ciutat Vella,1,el Raval,229,2,14,2
2022-01-01,1,Ciutat Vella,1,el Raval,322,2,15,1
2022-01-01,1,Ciutat Vella,1,el Raval,245,2,15,2
2022-01-01,1,Ciutat Vella,1,el Raval,221,2,16,1
2022-01-01,1,Ciutat Vella,1,el Raval,131,2,16,2
2022-01-01,1,Ciutat Vella,1,el Raval,171,2,17,1
2022-01-01,1,Ciutat Vella,1,el Raval,88,2,17,2
2022-01-01,1,Ciutat Vella,1,el Raval,102,2,18,1
2022-01-01,1,Ciutat Vella,1,el Raval,22,2,18,2
2022-01-01,1,Ciutat Vella,1,el Raval,30,2,19,1
2022-01-01,1,Ciutat Vella,1,el Raval,10,2,19,2
2022-01-01,1,Ciutat Vella,1,el Raval,5,2,20,1
2022-01-01,1,Ciutat Vella,1,el Raval,313,3,3,1
2022-01-01,1,Ciutat Vella,1,el Raval,330,3,3,2
2022-01-01,1,Ciutat Vella,1,el Raval,468,3,4,1
2022-01-01,1,Ciutat Vella,1,el Raval,655,3,4,2
2022-01-01,1,Ciutat Vella,1,el Raval,513,3,5,1
